#n_real_flow_records	n_exports	n_checks	n_flow_records
526153	899218	382024	715947
560845	949970	398999	758625
559060	951078	401620	757775
567295	963034	405581	768008
581616	982337	410971	785980
577351	975011	408070	781847
596181	1012786	427504	809228
566903	956980	400069	767227
564788	963933	409222	769321
594135	1002953	419609	805819
