#n_real_flow_records:302675
#memory	n_exports	n_checks	n_flow_records
0.2	1252305	950231	560937
0.4	1071261	769538	548543
0.6	940869	639545	534217
0.8	836484	535845	518669
1.0	753049	453225	503003
1.2	687001	388283	487296
1.4	634647	337148	472900
1.6	590816	294609	458736
1.8	555893	261246	446059
2.0	525368	232438	433562
